"Date","Name"
"1900-01-10","328"
"1900-01-19","861"
"1900-01-20","345"
"1900-02-07","876"
"1900-02-11","562"
"1900-02-13","84"
"1900-02-16","379"
"1900-02-17","494"
"1900-02-22","40"
"1900-02-23","163"
"1900-02-23","819"
"1900-02-26","825"
"1900-03-04","443"
"1900-03-06","718"
"1900-03-13","465"
"1900-03-21","487"
"1900-03-25","17"
"1900-04-15","776"
"1900-04-18","545"
"1900-04-20","866"
"1900-04-22","480"
"1900-04-26","103"
"1900-04-27","180"
"1900-05-01","998"
"1900-05-03","166"
"1900-05-05","666"
"1900-05-08","938"
"1900-05-11","498"
"1900-05-11","155"
"1900-05-16","677"
"1900-05-19","912"
"1900-05-22","640"
"1900-06-23","1020"
"1900-06-23","593"
"1900-06-24","277"
"1900-06-28","588"
"1900-07-07","979"
"1900-07-09","801"
"1900-07-10","896"
"1900-07-11","456"
"1900-07-12","798"
"1900-07-13","4"
"1900-07-15","41"
"1900-07-22","387"
"1900-07-22","571"
"1900-08-07","933"
"1900-08-13","569"
"1900-08-16","198"
"1900-08-19","701"
"1900-08-21","536"
"1900-08-23","13"
"1900-08-25","995"
"1900-08-27","874"
"1900-09-03","669"
"1900-09-05","363"
"1900-09-14","869"
"1900-09-15","643"
"1900-09-19","886"
"1900-09-28","335"
"1900-10-09","78"
"1900-10-17","316"
"1900-10-21","359"
"1900-10-23","781"
"1900-10-27","930"
"1900-10-28","294"
"1900-10-28","785"
"1900-10-31","235"
"1900-11-08","885"
"1900-11-14","214"
"1900-11-21","924"
"1900-12-08","615"
"1900-12-11","548"
"1900-12-16","648"
"1900-12-16","3"
"1900-12-16","325"
"1901-01-08","154"
"1901-01-08","452"
"1901-01-08","642"
"1901-01-11","612"
"1901-01-12","507"
"1901-02-01","452"
"1901-02-02","913"
"1901-02-03","893"
"1901-02-10","25"
"1901-03-04","84"
"1901-03-05","154"
"1901-03-08","256"
"1901-03-11","502"
"1901-03-12","462"
"1901-03-17","89"
"1901-03-19","18"
"1901-03-23","567"
"1901-03-23","33"
"1901-04-01","896"
"1901-04-11","907"
"1901-04-16","134"
"1901-04-17","295"
